config_id,geometry_ok,stl_path,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error
183,False,stl\prop_183.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_183.step,
184,False,stl\prop_184.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_184.step,
185,False,stl\prop_185.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_185.step,
186,False,stl\prop_186.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_186.step,
187,False,stl\prop_187.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_187.step,
188,False,stl\prop_188.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_188.step,
189,False,stl\prop_189.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_189.step,
190,False,stl\prop_190.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_190.step,
191,False,stl\prop_191.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_191.step,
192,False,stl\prop_192.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_192.step,
193,False,stl\prop_193.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_193.step,
194,False,stl\prop_194.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_194.step,
195,False,stl\prop_195.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_195.step,
196,False,stl\prop_196.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_196.step,
197,False,stl\prop_197.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_197.step,
198,False,stl\prop_198.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_198.step,
199,False,stl\prop_199.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_199.step,
200,False,stl\prop_200.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_200.step,
201,False,stl\prop_201.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_201.step,
202,False,stl\prop_202.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_202.step,
203,False,stl\prop_203.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_203.step,
204,False,stl\prop_204.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_204.step,
205,False,stl\prop_205.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_205.step,
206,False,stl\prop_206.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_206.step,
207,False,stl\prop_207.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_207.step,
208,False,stl\prop_208.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_208.step,
209,False,stl\prop_209.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_209.step,
210,False,stl\prop_210.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_210.step,
211,False,stl\prop_211.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_211.step,
212,False,stl\prop_212.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_212.step,
213,False,stl\prop_213.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_213.step,
214,False,stl\prop_214.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_214.step,
215,False,stl\prop_215.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_215.step,
216,False,stl\prop_216.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_216.step,
217,False,stl\prop_217.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_217.step,
218,False,stl\prop_218.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_218.step,
219,False,stl\prop_219.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_219.step,
220,False,stl\prop_220.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_220.step,
221,False,stl\prop_221.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_221.step,
222,False,stl\prop_222.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_222.step,
223,False,stl\prop_223.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_223.step,
224,False,stl\prop_224.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_224.step,
225,False,stl\prop_225.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_225.step,
226,False,stl\prop_226.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_226.step,
227,False,stl\prop_227.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_227.step,
228,False,stl\prop_228.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_228.step,
