config_id,naca_hub,re_hub,tier_hub,naca_mid,re_mid,tier_mid,naca_outer,re_outer,tier_outer,hub_CL0,hub_CL_a,hub_CLmin,hub_CLmax,hub_CD0,hub_CD2u,hub_CD2l,hub_CLCD0,hub_REref,hub_REexp,hub_xfoil_ok,mid_CL0,mid_CL_a,mid_CLmin,mid_CLmax,mid_CD0,mid_CD2u,mid_CD2l,mid_CLCD0,mid_REref,mid_REexp,mid_xfoil_ok,outer_CL0,outer_CL_a,outer_CLmin,outer_CLmax,outer_CD0,outer_CD2u,outer_CD2l,outer_CLCD0,outer_REref,outer_REexp,outer_xfoil_ok
4833,0023,10000,inviscid,1422,10000,inviscid,5620,20000,viscous,0.0006,7.4986,-0.6227,1.8493,0.0096,0.02,0.02,0.0006,10000,-0.5,False,0.138,7.434,-0.4883,1.9616,0.0094,0.02,0.02,0.138,10000,-0.5,False,-0.3897,5.172,-0.4504,0.6843,0.067884,0.181343,0.181343,-0.2241,20000,-0.5,True
4834,8624,10000,inviscid,9523,15000,inviscid,9522,20000,inviscid,1.3284,7.406,0.6319,3.0658,0.0098,0.02,0.02,1.3284,10000,-0.5,False,1.3353,7.3615,0.6421,3.0613,0.0096,0.02,0.02,1.3353,15000,-0.5,False,1.3278,7.3089,0.6394,3.0413,0.0094,0.02,0.02,1.3278,20000,-0.5,False
4835,2414,10000,inviscid,2414,10000,inviscid,4312,30000,inviscid,0.2606,6.9918,-0.3365,1.967,0.008,0.02,0.02,0.2606,10000,-0.5,False,0.2606,6.9918,-0.3365,1.967,0.008,0.02,0.02,0.2606,10000,-0.5,False,0.4748,6.8714,-0.1252,2.1372,0.008,0.02,0.02,0.4748,30000,-0.5,False
4836,3320,10000,inviscid,3413,30000,viscous,3408,40000,viscous,0.3789,7.3078,-0.2516,2.1554,0.009,0.02,0.02,0.3789,10000,-0.5,False,-0.0598,3.6871,-0.4489,0.7674,0.02968,0.132235,0.132235,-0.2288,30000,-0.5,True,0.0588,7.5785,-0.2662,1.096,0.02152,0.01,0.01,0.1195,40000,-0.5,True
4837,2618,10000,inviscid,0017,15000,inviscid,0017,20000,inviscid,0.3286,7.2005,-0.2899,2.0819,0.0086,0.02,0.02,0.3286,10000,-0.5,False,0.0006,7.1724,-0.5956,1.7688,0.0084,0.02,0.02,0.0006,15000,-0.5,False,0.0006,7.1724,-0.5956,1.7688,0.0084,0.02,0.02,0.0006,20000,-0.5,False
4838,2222,10000,inviscid,2218,20000,inviscid,2307,40000,viscous,0.2419,7.4272,-0.3903,2.0568,0.0094,0.02,0.02,0.2419,10000,-0.5,False,0.2353,7.2108,-0.3784,1.9974,0.0086,0.02,0.02,0.2353,20000,-0.5,False,0.0699,7.0993,-0.3468,0.9454,0.020144,0.035867,0.035867,0.191,40000,-0.5,True
4839,8716,10000,viscous,6714,35000,viscous,5714,25000,viscous,-0.2127,5.985,-0.1099,0.8819,0.078599,0.142598,0.142598,-0.0094,10000,-0.5,True,-0.0157,6.0298,-0.3986,1.1067,0.010258,0.018856,0.018856,-1.3943,35000,-0.5,True,-0.0592,5.0555,-0.4251,0.9072,0.043428,0.198252,0.198252,0.0284,25000,-0.5,True
4840,2721,10000,inviscid,3618,10000,inviscid,4411,20000,viscous,0.3868,7.3573,-0.2482,2.1748,0.0092,0.02,0.02,0.3868,10000,-0.5,False,0.4917,7.1854,-0.1355,2.2304,0.0086,0.02,0.02,0.4917,10000,-0.5,False,0.0642,3.4078,-0.3744,0.8307,0.037168,0.189805,0.189805,-0.008,20000,-0.5,True
4841,4724,10000,inviscid,3722,15000,inviscid,2718,25000,inviscid,0.7777,7.477,0.1089,2.5694,0.0098,0.02,0.02,0.7777,10000,-0.5,False,0.5807,7.3917,-0.069,2.3643,0.0094,0.02,0.02,0.5807,15000,-0.5,False,0.381,7.1947,-0.2403,2.1294,0.0086,0.02,0.02,0.381,25000,-0.5,False
4842,3518,10000,inviscid,5617,30000,viscous,7717,30000,viscous,0.4394,7.1914,-0.1852,2.1831,0.0086,0.02,0.02,0.4394,10000,-0.5,False,-0.1866,5.048,-0.4167,0.8004,0.055979,0.15053,0.15053,-0.1308,30000,-0.5,True,-0.1853,5.8092,-0.332,0.9497,0.072221,0.11762,0.11762,-0.0713,30000,-0.5,True
4843,5317,10000,viscous,3411,20000,viscous,2409,25000,viscous,-0.1747,3.4038,-0.3962,0.5973,0.06619,0.153154,0.153154,-0.3059,10000,-0.5,True,0.0311,3.3021,-0.4081,0.7834,0.034117,0.227567,0.227567,0.0038,20000,-0.5,True,-0.0515,6.7348,-0.4191,0.9208,0.02443,0.01,0.01,0.0398,25000,-0.5,True
