config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s
338,True,True,4000.0,0.006164,1.6e-05,0.001018,0.232,1.049292,0.002505,3.836643,23.827385,8.369542,2.570944,10.01998,-7.849849,973.912292,
339,True,True,4000.0,0.00704,2.8e-05,0.001219,0.2133,1.092018,0.002607,3.088292,26.509305,10.047199,3.337884,9.031647,-7.357453,1223.549281,
340,False,False,4000.0,0.010059,3.4e-05,0.001571,,,,,,,,,,,
341,True,False,4000.0,0.019175,4.7e-05,0.001093,0.06557,1.688501,0.004031,0.34857,0.0,0.0,0.0,0.0,0.0,4000.0,
342,True,False,4000.0,0.018061,4.8e-05,0.001772,0.05635,0.152053,0.000363,0.318036,0.0,0.0,0.0,0.0,0.0,4000.0,
343,True,False,4000.0,0.012416,3.5e-05,0.001093,0.0,1.148147,0.002741,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
344,True,False,4000.0,0.023593,6.2e-05,0.001514,0.0,1.24449,0.002971,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
345,True,False,4000.0,0.009277,2.1e-05,0.001006,0.0,0.599835,0.001432,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
346,True,True,4000.0,0.014026,3.4e-05,0.000679,0.4888,2.408135,0.005749,3.552476,35.082276,8.436978,2.197276,12.687402,-14.161392,913.693442,
347,True,False,4000.0,0.011378,3.1e-05,0.001477,0.08844,0.41846,0.000999,0.792348,0.0,0.0,0.0,0.0,0.0,4000.0,
348,True,True,4000.0,0.010524,3.5e-05,0.001156,0.249,2.002661,0.004781,2.411901,13.306175,5.897383,1.693405,6.325881,-8.572604,1367.596082,
349,True,True,4000.0,0.013728,3.7e-05,0.000698,0.9809,6.010914,0.01435,7.283703,42.230832,8.131149,1.805414,18.791825,-15.014779,464.925809,
350,True,True,4000.0,0.011471,2.6e-05,0.001382,0.188,0.957557,0.002286,1.670588,6.12117,4.679215,1.398296,3.296136,-6.213392,2022.433522,
351,True,True,4000.0,0.006731,2.8e-05,0.001207,0.2065,1.604307,0.00383,3.127179,18.84741,7.607263,2.374889,8.1304,-7.315969,1159.275337,
352,True,True,4000.0,0.012164,3e-05,0.001401,0.134,0.686962,0.00164,1.122947,0.166038,1.42747,0.45517,0.265797,-0.748838,3370.652743,
353,True,False,4000.0,0.015079,3.2e-05,0.001364,0.04356,0.122313,0.000292,0.29447,0.0,0.0,0.0,0.0,0.0,4000.0,
354,True,True,4000.0,0.016716,4.8e-05,0.001496,0.2275,1.145634,0.002735,1.387318,3.772315,4.308808,1.31638,2.09494,-4.821999,2528.764878,
355,True,True,4000.0,0.006305,1.8e-05,0.000698,0.1359,0.487994,0.001165,2.197098,24.37996,9.538071,3.120972,7.546691,-8.543895,1618.879553,
356,True,True,4000.0,0.006894,2.3e-05,0.001144,0.1346,1.181239,0.00282,1.990355,7.10374,4.648089,1.373475,4.07241,-6.360845,1675.538691,
357,True,False,4000.0,0.013333,4.1e-05,0.001156,0.06286,2.052088,0.004899,0.480597,0.0,0.0,0.0,0.0,0.0,4000.0,
358,True,True,4000.0,0.015138,5.7e-05,0.001207,0.2912,1.964543,0.00469,1.960952,15.143646,6.873236,2.042464,5.867342,-9.154652,1708.321893,
359,True,True,4000.0,0.010821,4.6e-05,0.001628,0.2253,1.153593,0.002754,2.122398,20.737839,9.356396,3.170865,6.616208,-7.223279,1704.868335,
360,False,False,4000.0,0.009319,2.8e-05,0.001119,,,,,,,,,,,
361,True,True,4000.0,0.011276,3.2e-05,0.000685,0.2459,0.932844,0.002227,2.222892,29.765263,9.544834,2.9001,8.807419,-11.458242,1532.102677,
362,True,False,4000.0,0.011846,2e-05,0.000591,0.07525,0.244625,0.000584,0.647548,0.0,0.0,0.0,0.0,0.0,4000.0,
363,True,False,4000.0,0.009047,2.7e-05,0.001477,0.04459,0.15331,0.000366,0.502411,0.0,0.0,0.0,0.0,0.0,4000.0,
