config_id,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg
1172,True,0.0,4000.0,0.0,1.015,0.01402,5.873,0.07716,0.0135,0.79443,1.36093,0.8099,0.004949
1173,True,0.0,4000.0,0.0,0.1981,0.001558,0.6527,0.0167,0.001705,0.63236,1.17013,0.1719,0.007813
1174,True,0.0,4000.0,0.0,0.05313,0.000372,0.1557,0.008293,0.000879,0.42956,0.90383,0.0943,0.006514
1175,True,0.0,4000.0,0.0,0.04471,0.004167,1.746,0.003578,0.004275,0.02502,0.13584,0.0317,0.04616
1176,True,0.0,4000.0,0.0,0.02194,0.00096,0.4022,0.004694,0.003367,0.04774,0.20895,0.0381,0.03368
1177,True,0.0,4000.0,0.0,0.1809,0.001904,0.7976,0.03626,0.006156,0.56082,1.07952,0.3108,0.02169
1178,True,0.0,4000.0,0.0,0.1312,0.002312,0.9684,0.009978,0.002225,0.2239,0.58545,0.0994,0.02436
1179,False,,,,,,,,,,,,
1180,False,,,,,,,,,,,,
1181,True,0.0,4000.0,0.0,0.1984,0.001468,0.6147,0.01509,0.001413,0.65594,1.19838,0.2261,0.005992
1182,True,0.0,4000.0,0.0,0.0921,0.00119,0.4984,0.01438,0.002814,0.30627,0.72146,0.1411,0.02454
1183,True,0.0,4000.0,0.0,0.192,0.001354,0.567,0.0266,0.002757,0.78651,1.35287,0.34,0.007235
1184,True,0.0,4000.0,0.0,0.3516,0.003632,1.521,0.05488,0.008589,0.74859,1.30854,0.4575,0.01107
1185,True,0.0,4000.0,0.0,0.05831,0.001368,0.5729,0.01096,0.004081,0.14062,0.42917,0.0715,0.0258
1186,True,0.0,4000.0,0.0,0.194,0.002978,1.247,0.01403,0.002692,0.30874,0.725,0.0954,0.01631
1187,True,0.0,4000.0,0.0,0.005,0.002369,0.9925,0.000735,0.005198,0.00191,0.02448,0.0041,0.039
1188,True,0.0,4000.0,0.0,1.405,0.03182,13.33,0.1184,0.03481,0.58484,1.11058,1.1936,0.09718
1189,True,0.0,4000.0,0.0,0.04832,0.000784,0.3285,0.006313,0.001485,0.16891,0.48501,0.0641,0.01633
1190,True,0.0,4000.0,0.0,0.3514,0.003646,1.527,0.06607,0.01088,0.78049,1.34561,0.3799,0.007259
1191,True,0.0,4000.0,0.0,0.1104,0.001423,0.5962,0.01152,0.002034,0.3038,0.7176,0.0749,0.01031
1192,True,0.0,4000.0,0.0,0.1276,0.002423,1.015,0.01767,0.004936,0.23804,0.60952,0.1162,0.02553
1193,True,0.0,4000.0,0.0,0.4839,0.005209,2.182,0.06323,0.009865,0.80588,1.37465,0.7575,0.01037
1194,True,0.0,4000.0,0.0,0.2376,0.004255,1.783,0.01807,0.004096,0.29637,0.70586,0.1664,0.03374
1195,True,0.0,4000.0,0.0,0.1757,0.001979,0.8291,0.01833,0.002828,0.4386,0.91659,0.1295,0.01523
1196,True,0.0,4000.0,0.0,-0.1572,0.002026,0.8485,-0.02054,0.003836,,,-0.1743,0.03618
1197,True,0.0,4000.0,0.0,0.3212,0.00343,1.437,0.02852,0.004006,0.60081,1.13069,0.1931,0.01246
1198,False,,,,,,,,,,,,
1199,True,0.0,4000.0,0.0,0.05725,0.000535,0.2243,0.004823,0.000586,0.28588,0.68874,0.0488,0.005267
1200,True,0.0,4000.0,0.0,0.2517,0.004992,2.091,0.02356,0.00623,0.29024,0.69585,0.3145,0.07426
1201,True,0.0,4000.0,0.0,0.0323,0.000996,0.4172,0.005359,0.002542,0.07716,0.28772,0.0281,0.01623
1202,True,0.0,4000.0,0.0,0.3474,0.004864,2.037,0.05763,0.01242,0.55742,1.07457,0.2821,0.02777
1203,True,0.0,4000.0,0.0,0.1632,0.002648,1.109,0.01375,0.002898,0.27829,0.67645,0.1713,0.03448
1204,True,0.0,4000.0,0.0,0.2999,0.004144,1.736,0.02963,0.005532,0.46081,0.94728,0.2853,0.03485
1205,True,0.0,4000.0,0.0,-0.1137,0.00167,0.6995,-0.01775,0.00395,,,-0.2496,0.06361
1206,True,0.0,4000.0,0.0,0.09183,0.00115,0.4818,0.01524,0.002936,0.32029,0.74327,0.1332,0.02243
1207,True,0.0,4000.0,0.0,0.1037,0.001461,0.6119,0.02218,0.005123,0.32248,0.74635,0.204,0.04059
1208,True,0.0,4000.0,0.0,0.04967,0.003417,1.431,0.004185,0.003739,0.03621,0.17372,0.0393,0.0419
